,4-BLOCK POLYMER,Electronic Dielectric Constant,Ionic Dielectric Constant,Total Dielectric Constant,HSE Band Gap (eV)
247,CH2-CS-NH-CS,3.818,1.679,5.497,1.850
248,C6H4-C6H4-C4H2S-O,4.239,0.343,4.582,2.516
249,CH2-CO-C4H2S-CO,3.220,0.728,3.947,3.342
250,CH2-NH-CO-C4H2S,3.185,0.607,3.791,4.027
251,CH2-C6H4-C6H4-CS,3.880,0.226,4.106,2.574
252,CH2-C6H4-NH-C4H2S,3.313,0.409,3.722,3.559
253,C6H4-C4H2S-C6H4-CS,4.867,0.521,5.387,1.975
254,CH2-C6H4-CS-C4H2S,3.504,0.318,3.822,2.556
255,C6H4-C4H2S-CS-C4H2S,6.610,0.577,7.187,1.260
256,C4H2S-O-CS-O,3.315,0.628,3.943,3.132
257,CH2-CS-NH-O,3.243,1.015,4.258,4.301
258,CH2-C6H4-CH2-C4H2S,3.101,0.091,3.192,4.155
259,CO-O-CS-O,2.654,1.104,3.758,4.009
260,NH-C6H4-O-C6H4,3.399,0.660,4.059,3.433
261,CH2-C6H4-CO-C6H4,3.329,0.359,3.688,4.044
262,NH-CO-O-CO,2.656,1.913,4.569,5.306
263,CO-C4H2S-CS-C4H2S,4.812,0.966,5.779,1.727
264,CH2-CS-O-CS,3.424,0.466,3.890,3.032
265,C4H2S-CS-C4H2S-O,3.873,0.639,4.512,2.330
266,CO-C4H2S-O-C4H2S,3.640,0.755,4.395,2.928
267,C6H4-CS-C6H4-O,3.698,0.667,4.364,2.210
268,NH-O-C6H4-O,3.253,0.649,3.902,4.134
269,CH2-CO-CH2-C6H4,2.888,0.631,3.518,3.997
270,CH2-NH-O-CS,3.175,0.392,3.568,3.849
271,CH2-NH-C4H2S-O,3.147,0.756,3.903,3.722
272,CH2-CS-C4H2S-CS,5.645,0.396,6.041,1.835
273,CO-C6H4-CO-CS,3.743,0.597,4.340,1.976
274,CH2-CH2-CH2-CO,2.543,0.690,3.233,5.321
275,CH2-CO-C6H4-C6H4,3.330,0.329,3.658,3.369
276,CH2-CH2-CS-O,3.022,0.375,3.397,3.768
277,NH-C4H2S-CS-C6H4,4.698,1.268,5.966,1.895
278,CH2-NH-O-C4H2S,3.180,0.337,3.517,4.134
279,C6H4-C6H4-C6H4-O,3.369,0.232,3.601,3.592
280,NH-C6H4-CO-CS,4.180,0.960,5.141,2.111
281,CH2-CH2-C6H4-C6H4,3.296,0.071,3.367,3.857
282,CH2-CS-CH2-CS,3.485,0.232,3.718,2.708
283,NH-C6H4-C6H4-CS,4.043,0.404,4.447,2.691
284,CH2-NH-O-NH,2.747,0.420,3.168,5.300
